query_id,dataset_name,tier,split
002a402e485b,General Knowledge,easy,train
005556540a4d,Coding,easy,train
005f27551ea0,Mathematical Reasoning,medium,train
006ffb54989a,General Knowledge,easy,train
00c7a0bc91ec,Scientific Questionnaire,medium,train
00ca98af0709,General Knowledge,hard,train
00e680ae81ec,Coding,medium,val
01b7cbf592f6,Competitive Math,easy,train
01c209520662,Coding,easy,test
01f3444ebc2a,Coding,easy,train
0202cb2c9d2b,Coding,easy,train
021ecb83b40d,Coding,easy,train
024b5e73ad03,General Knowledge,easy,train
0263febc65c7,Coding,hard,train
02a6b2b98e06,General Knowledge,easy,test
02c2ee4236ee,Coding,easy,val
02ca58a8746e,Coding,hard,train
032674f75388,General Knowledge,easy,train
036cf4a72b70,Coding,medium,train
03aa807c9b23,General Knowledge,easy,train
03b51eb5d026,Scientific Questionnaire,medium,train
03c8ac30078f,Coding,easy,train
040366b83bb2,Coding,easy,train
040f6c2e608d,Coding,easy,train
042dadf69850,Coding,medium,train
0458d97e38c9,General Knowledge,medium,test
045efc26b97a,Coding,hard,train
04aac2d7c42f,General Knowledge,easy,val
058ee0ea52a0,General Knowledge,easy,test
05ae6ea972b5,Mathematical Reasoning,easy,train
066ccc729be6,General Knowledge,easy,train
0675b48d4002,Mathematical Reasoning,medium,train
068ba1a52824,Competitive Math,medium,train
06aac8fadbcc,General Knowledge,easy,train
06f2e6596d33,General Knowledge,easy,train
06f4ec2d0341,General Knowledge,easy,train
070614478c93,General Knowledge,easy,train
0718cac0c2da,General Knowledge,easy,test
072b683a2ec7,Scientific Questionnaire,easy,val
073179095bd7,General Knowledge,easy,train
075670909f98,Mathematical Reasoning,easy,train
077ef96505df,Mathematical Reasoning,easy,train
07cb9949b7a5,Coding,medium,val
07cea04426df,Coding,hard,train
080d939dc18b,General Knowledge,easy,test
08176ae78a40,Coding,medium,val
081de0d48925,Scientific Questionnaire,easy,train
082b44382139,General Knowledge,easy,train
0843a19bf7e2,General Knowledge,hard,train
0881fd0052a6,General Knowledge,easy,val
08a2e71e28b6,Coding,easy,train
08b37f19130b,General Knowledge,easy,train
08e30c40c43e,Coding,easy,test
08e9ffa02962,General Knowledge,easy,train
092e5225aa02,General Knowledge,easy,train
096288fb5747,General Knowledge,easy,train
098e38daffa0,General Knowledge,easy,test
09c16841d603,Scientific Questionnaire,easy,train
09f8e145e1ab,Mathematical Reasoning,easy,test
09fc61cb5911,General Knowledge,easy,train
0a0f19e51d59,General Knowledge,hard,train
0a19a36dd600,Coding,easy,train
0a1f36d85669,General Knowledge,easy,test
0a2c7b8010c0,Coding,easy,train
0a7962773dc3,Mathematical Reasoning,easy,train
0a99d9ef3249,General Knowledge,easy,train
0aa2fba84be7,General Knowledge,easy,train
0ab5e6f3fa68,Coding,easy,val
0ae4e07dd148,General Knowledge,easy,test
0b01f98dfc7b,General Knowledge,easy,val
0b29b09e1c21,Coding,easy,val
0b3ece9b7a8b,General Knowledge,medium,test
0b3fb614506d,Coding,easy,test
0b4f0c2296b6,Coding,easy,test
0b863528c52f,General Knowledge,medium,train
0ba4ba222356,General Knowledge,easy,train
0bce55287ad9,General Knowledge,easy,train
0c2f8302ef30,Coding,medium,train
0c34835a67a5,Scientific Questionnaire,easy,val
0c41c78ed7e9,Scientific Questionnaire,easy,test
0c4e0d988143,Coding,easy,test
0c87c8d96051,General Knowledge,easy,train
0caa3a8065f1,Coding,hard,val
0ce6c7ba13ba,Scientific Questionnaire,medium,train
0d156276b7ce,General Knowledge,easy,train
0d15a25662e3,Coding,medium,train
0d28f789cfec,Coding,easy,train
0d67079b28bd,Competitive Math,easy,train
0d7107a8972b,General Knowledge,easy,train
0d75395ccb99,General Knowledge,hard,train
0d9859c1037e,Competitive Math,easy,val
0decd80191ef,Coding,hard,train
0df714b39973,Coding,easy,train
0df82f0340bd,Coding,easy,train
0e02b03936fb,Scientific Questionnaire,easy,train
0e43239f31fe,Mathematical Reasoning,easy,val
0e500a07cf3e,Scientific Questionnaire,easy,train
0e566564c3e7,Coding,hard,train
0e66066a86a9,General Knowledge,easy,test
0e7dcdccb34c,General Knowledge,easy,test
0e93dcda3707,Mathematical Reasoning,easy,train
0ea031b192a7,General Knowledge,easy,train
0eb5ef2e6ab8,General Knowledge,hard,val
0ee619524934,General Knowledge,easy,train
0f7736ff1fc9,Scientific Questionnaire,medium,train
0f8f81ccab13,General Knowledge,medium,train
0fcf71cbdc87,Coding,easy,val
0fde67939f4e,General Knowledge,easy,train
10013fb3802b,Mathematical Reasoning,hard,train
101cf8334c69,Coding,easy,test
105a5518e4d8,General Knowledge,easy,train
1064b43dfd4f,General Knowledge,easy,train
1077cec39026,General Knowledge,easy,train
10982e7828e1,Coding,medium,train
109e314a6106,General Knowledge,easy,train
10b3798cbe3e,Coding,easy,test
10df5cbb9f9f,Coding,easy,train
10e286ef5fc1,General Knowledge,medium,test
10fc080c9495,Scientific Questionnaire,easy,train
1111c6371dd1,Coding,easy,train
114a6e2944d1,General Knowledge,easy,train
11596a8001cb,Coding,easy,train
115cff8238d9,Scientific Questionnaire,medium,train
11856d4c6d31,General Knowledge,easy,train
11af821174d9,Competitive Math,easy,train
11b56de16a22,Coding,easy,train
11f3914f415f,General Knowledge,easy,train
120e23f646b3,Coding,easy,val
1218e1ddfcdc,Coding,easy,train
122018cd0699,Competitive Math,easy,train
127bfc03fbe0,General Knowledge,easy,train
129a9d96f806,Coding,easy,train
12e96ed6f5f6,Coding,easy,test
130b0e006c8b,General Knowledge,hard,train
1316484ad8ee,Coding,easy,train
135f63e4587d,General Knowledge,easy,train
137846dd0794,Coding,easy,train
13a267b2a587,General Knowledge,hard,val
13c8ae5084a3,Coding,hard,val
13e89c59bd4d,Coding,easy,test
146087836757,Coding,easy,train
1477f05aadf6,Coding,easy,train
148c9137ba18,General Knowledge,medium,train
14b603c4d0d9,General Knowledge,easy,train
14bdbb4f417b,Coding,medium,train
14cb240f1aa0,Competitive Math,easy,train
14f22dd10359,Coding,hard,train
151313c01995,General Knowledge,easy,train
1521c6b87a9a,General Knowledge,easy,train
1562059937b3,General Knowledge,easy,train
159b0012a717,Coding,easy,train
15aa593e0749,Coding,easy,train
15f6401f1d0e,Mathematical Reasoning,medium,train
160b45222b9d,General Knowledge,easy,train
16381cf064ed,Coding,easy,val
1640d093d935,Coding,easy,train
167454edac1d,General Knowledge,medium,train
168d138b7854,Coding,medium,train
16a059ed5829,General Knowledge,easy,train
16c6a92e47e8,Coding,easy,test
16cbdc62595e,General Knowledge,medium,val
16ec9feb2050,General Knowledge,easy,train
1772b01dbe27,General Knowledge,medium,train
179b56dcbb4f,General Knowledge,hard,train
17b5eef08379,Coding,easy,test
17c125e35efb,Coding,easy,test
