policy,t,val_accuracy_pct,val_avg_cost,meets_floor
prior-cascade,0.5,64.66,0.000663,False
prior-cascade,0.55,74.56,0.000826,False
prior-cascade,0.6,74.56,0.000826,False
prior-cascade,0.65,75.62,0.001284,False
prior-cascade,0.7,75.62,0.001284,False
prior-cascade,0.75,77.39,0.005087,False
prior-cascade,0.8,82.69,0.00775,True
prior-cascade,0.85,88.69,0.08355,True
prior-cascade,0.9,90.46,0.072637,True
prior-cascade,0.95,90.81,0.02278,True
knn-cascade,0.5,75.97,0.000871,False
knn-cascade,0.55,76.68,0.003554,False
knn-cascade,0.6,90.46,0.02195,True
knn-cascade,0.65,90.46,0.02195,True
knn-cascade,0.7,90.81,0.021995,True
knn-cascade,0.75,90.81,0.021995,True
knn-cascade,0.8,90.81,0.02205,True
knn-cascade,0.85,90.81,0.02205,True
knn-cascade,0.9,90.81,0.02278,True
knn-cascade,0.95,90.81,0.02278,True
learned-cascade,0.5,74.56,0.000886,False
learned-cascade,0.55,74.56,0.00097,False
learned-cascade,0.6,74.56,0.000986,False
learned-cascade,0.65,74.91,0.001234,False
learned-cascade,0.7,74.91,0.001342,False
learned-cascade,0.75,74.91,0.002338,False
learned-cascade,0.8,75.97,0.002922,False
learned-cascade,0.85,78.45,0.003781,False
learned-cascade,0.9,80.92,0.005604,False
learned-cascade,0.95,83.75,0.008142,True
